SUZ | 2018-12-31 : 0.7023 : 19.8 | 2018-09-30 : -0.05 : 23.6 | 2018-06-30 : -0.9429 : 23.0 | 2018-03-31 : 0.4585 : 19.8299 | 2017-12-31 : 0.1999 : 11.9517 | 2017-09-30 : 0.463 : 11.584
LAZ | 2018-12-31 : 0.9 : 36.0157 | 2018-09-30 : 0.82 : 46.4649 | 2018-06-30 : 1.13 : 46.8243 | 2018-03-31 : 1.21 : 49.8964 | 2017-12-31 : -0.67 : 48.277 | 2017-09-30 : 0.82 : 41.2188
SCWX | 2018-10-31 : -0.05 : 16.49 | 2018-07-31 : -0.12 : 12.82 | 2018-04-30 : -0.17 : 10.92 | 2018-01-31 : 0.06 : 9.68 | 2017-10-31 : -0.12 : 10.02 | 2017-07-31 : -0.13 : 10.94
RYAM | 2018-12-31 : 0.14 : 10.5933 | 2018-09-30 : 0.6 : 18.2203 | 2018-06-30 : 0.83 : 16.8407 | 2018-03-31 : 0.38 : 21.0709 | 2017-12-31 : 5.35 : 19.9982 | 2017-09-30 : 0.28 : 13.3486
CODI | 2018-12-31 : -0.22 : 11.8892 | 2018-09-30 : -0.07 : 16.9784 | 2018-06-30 : -0.1 : 15.8577 | 2018-03-31 : -0.09 : 14.7068 | 2017-12-31 : 0.58 : 14.8818 | 2017-09-30 : 0.1 : 15.276
MED | 2018-12-31 : 1.31 : 124.2935 | 2018-09-30 : 1.14 : 218.9602 | 2018-06-30 : 1.16 : 157.9225 | 2018-03-31 : 1.01 : 91.8579 | 2017-12-31 : 0.6 : 68.2529 | 2017-09-30 : 0.55 : 57.6591
NUS | 2018-12-31 : -0.33 : 60.9685 | 2018-09-30 : 0.94 : 81.4793 | 2018-06-30 : 0.9 : 76.9462 | 2018-03-31 : 0.64 : 72.213 | 2017-12-31 : 0.32 : 66.5024 | 2017-09-30 : 0.76 : 59.5807
HTBI | 2018-12-31 : 0.43 : 26.1233 | 2018-09-30 : 0.41 : 29.0209 | 2018-06-30 : 0.38 : 28.0254 | 2018-03-31 : 0.32 : 25.9347 | 2017-12-31 : -0.59 : 25.636 | 2017-09-30 : 0.3 : 25.5364
SSTI | 2018-12-31 : 0.03 : 31.18 | 2018-09-30 : -0.13 : 61.29 | 2018-06-30 : -0.03 : 37.93 | 2018-03-31 : -0.12 : 26.5 | 2017-12-31 : -0.12 : 14.05 | 2017-09-30 : -0.17 : 13.45
AX | 2018-12-31 : 0.62 : 25.18 | 2018-09-30 : 0.58 : 34.39 | 2018-06-30 : 0.59 : 40.91 | 2018-03-31 : 0.8 : 40.53 | 2017-12-31 : 0.49 : 29.9 | 2017-09-30 : 0.5 : 28.47
EV | 2019-01-31 : 0.75 : 38.52 | 2018-10-31 : 0.87 : 44.6486 | 2018-07-31 : 0.83 : 52.2262 | 2018-04-30 : 0.78 : 53.1548 | 2018-01-31 : 0.63 : 56.1708 | 2017-10-31 : 0.69 : 48.7941
RYAAY | 2018-12-31 : -0.3326 : 71.34 | 2018-09-30 : 4.239 : 96.04 | 2018-06-30 : 1.574 : 114.23 | 2018-03-31 : 0.293 : 122.85 | 2017-12-31 : 0.5211 : 104.19 | 2017-09-30 : 4.363 : 105.42
BBD | 2017-12-31 : 0.2715 : 7.4767 | 2017-09-30 : 0.1498 : 7.6867 | 2017-06-30 : 0.2003 : 5.8824 | 2017-03-31 : 0.2125 : 6.4277 | 2016-12-31 : 0.2763 : 5.4587 | 2016-09-30 : 0.1637 : 5.5331
SSTK | 2018-12-31 : 0.42 : 36.01 | 2018-09-30 : 0.21 : 54.58 | 2018-06-30 : -0.01 : 44.7624 | 2018-03-31 : 0.92 : 45.4132 | 2017-12-31 : 0.05 : 40.5842 | 2017-09-30 : 0.14 : 31.3978
TPC | 2018-12-31 : 0.98 : 15.97 | 2018-09-30 : 0.42 : 18.8 | 2018-06-30 : 0.49 : 18.45 | 2018-03-31 : -0.24 : 22.05 | 2017-12-31 : 1.59 : 25.35 | 2017-09-30 : 0.47 : 28.4
BHGE | 2018-12-31 : 0.3 : 21.3358 | 2018-09-30 : 0.03 : 33.3106 | 2018-06-30 : -0.05 : 32.3544 | 2018-03-31 : 0.17 : 27.0655 | 2017-12-31 : 0.07 : 30.6663 | 2017-09-30 : -0.3131 : 35.2888
HOG | 2018-12-31 : 0.02 : 33.7724 | 2018-09-30 : 0.68 : 44.3779 | 2018-06-30 : 1.45 : 40.8789 | 2018-03-31 : 1.03 : 41.2922 | 2017-12-31 : 0.07 : 48.6211 | 2017-09-30 : 0.4 : 45.74
SNN | 2014-12-31 : 0.356 : 33.7512 | 2014-09-30 : 0.226 : 21.717 | 2014-06-30 : 0.198 : 23.0299 | 2014-03-31 : 0.334 : 0.0 | 2013-12-31 : 0.36 : 0.0 | 2013-09-30 : 0.27 : 0.0
EVH | 2018-12-31 : -0.21 : 19.95 | 2018-09-30 : -0.16 : 28.4 | 2018-06-30 : -0.13 : 21.05 | 2018-03-31 : -0.18 : 14.25 | 2017-12-31 : -0.16 : 12.3 | 2017-09-30 : -0.18 : 17.8
SC | 2018-12-31 : 0.3 : 17.4072 | 2018-09-30 : 0.64 : 19.6267 | 2018-06-30 : 0.92 : 18.5091 | 2018-03-31 : 0.67 : 15.762 | 2017-12-31 : 1.6 : 17.9501 | 2017-09-30 : 0.55 : 14.7648
HUBB | 2018-12-31 : 1.61 : 98.639 | 2018-09-30 : 2.06 : 131.5892 | 2018-06-30 : 1.82 : 103.5394 | 2018-03-31 : 1.05 : 118.3999 | 2017-12-31 : 0.37 : 130.8296 | 2017-09-30 : 1.47 : 111.4686
XYF | 2018-09-30 : 0.191 : 8.8448
WIFI | 2018-12-31 : 0.01 : 20.57 | 2018-09-30 : -0.01 : 34.9 | 2018-06-30 : 0.05 : 22.59 | 2018-03-31 : -0.08 : 24.77 | 2017-12-31 : -0.03 : 22.5 | 2017-09-30 : -0.09 : 21.37
AMTBB | 2018-09-30 : 0.81 : 21.15 | 2018-03-31 : 0.27 : 0.0 | 2017-03-31 : 0.1863 : 0.0
TEL | 2018-12-31 : 0.8 : 75.228 | 2018-09-30 : 4.72 : 86.9455 | 2018-06-30 : 1.29 : 88.6265 | 2018-03-31 : 1.38 : 97.8543 | 2017-12-31 : -0.11 : 92.7294 | 2017-09-30 : 1.22 : 80.7028
SGMS | 2018-12-31 : 2.28 : 17.88 | 2018-09-30 : -3.85 : 25.4 | 2018-06-30 : -0.06 : 49.15 | 2018-03-31 : -2.24 : 41.6 | 2017-12-31 : -0.48 : 51.3 | 2017-09-30 : -0.66 : 45.85
CTRA | 2018-09-30 : 1.15 : 79.25 | 2018-06-30 : 7.16 : 72.7 | 2018-03-31 : 5.53 : 67.0 | 2017-12-31 : 9.01 : 59.38 | 2017-09-30 : 0.93 : 59.28 | 2017-06-30 : 1.16 : 65.5
JKS | 2018-09-30 : 0.7112 : 10.77 | 2018-06-30 : 0.3956 : 13.77 | 2018-03-31 : 0.0151 : 18.25 | 2017-12-31 : 0.101 : 24.05 | 2017-09-30 : 0.048 : 24.95 | 2017-06-30 : 0.2134 : 20.8
CPLG | 2018-09-30 : -0.22 : 18.7829 | 2018-06-30 : -0.82 : 24.6736
HEP | 2018-12-31 : 0.45 : 27.9386 | 2018-09-30 : 0.43 : 30.101 | 2018-06-30 : 0.38 : 26.4754 | 2018-03-31 : 0.44 : 25.261 | 2017-12-31 : 1.12 : 29.1537 | 2017-09-30 : 0.66 : 29.415
TDY | 2018-12-31 : 2.45 : 207.07 | 2018-09-30 : 2.43 : 246.68 | 2018-06-30 : 2.32 : 199.06 | 2018-03-31 : 1.81 : 187.17 | 2017-12-31 : 1.85 : 181.15 | 2017-09-30 : 1.9 : 159.18
EQNR | 2018-12-31 : 1.01 : 20.9592 | 2018-09-30 : 0.5 : 27.6556 | 2018-06-30 : 0.37 : 25.6667 | 2018-03-31 : 0.39 : 22.7909 | 2017-12-31 : 0.77 : 20.4408 | 2017-09-30 : -0.15 : 19.0205
