ZUO.out,NaN,4
ZS.out,NaN,4
Z.out,NaN,34
ZNGA.out,NaN,32
ZG.out,NaN,34
ZGNX.out,NaN,36
ZEN.out,NaN,20
ZBRA.out,NaN,50
YEXT.out,NaN,7
YELP.out,NaN,31
XON.out,NaN,23
XOG.out,NaN,9
XNCR.out,NaN,24
XLRN.out,NaN,24
XHR.out,NaN,16
XENT.out,NaN,20
XELA.out,NaN,15
WVE.out,NaN,13
WUBA.out,NaN,25
WTTR.out,NaN,8
WTRH.out,NaN,10
WSR.out,NaN,44
WSC.out,NaN,13
W.out,NaN,18
WMS.out,NaN,19
WMGI.out,NaN,37
WK.out,NaN,17
WIX.out,NaN,21
WINS.out,NaN,10
WIFI.out,NaN,36
WETF.out,NaN,35
WDAY.out,NaN,26
WB.out,NaN,21
WBAI.out,NaN,24
WAAS.out,NaN,10
VST.out,NaN,9
VRTX.out,NaN,50
VRTS.out,NaN,44
VRS.out,NaN,48
VRRM.out,NaN,8
VRNS.out,NaN,20
VRAY.out,NaN,21
VOYA.out,NaN,23
VNET.out,NaN,35
VNE.out,NaN,5
VNDA.out,NaN,50
VKTX.out,NaN,14
VIPS.out,NaN,29
VIAV.out,NaN,50
VG.out,NaN,50
VER.out,NaN,30
VCYT.out,NaN,25
VCRA.out,NaN,32
VC.out,NaN,50
VCEL.out,NaN,50
UXIN.out,NaN,4
UVV.out,NaN,50
USWS.out,NaN,7
USCR.out,NaN,38
URGN.out,NaN,7
UPWK.out,NaN,2
UPLD.out,NaN,17
UNVR.out,NaN,15
UNM.out,NaN,50
UIS.out,NaN,50
UIHC.out,NaN,47
UGI.out,NaN,50
UE.out,NaN,16
TYPE.out,NaN,50
TWTR.out,NaN,22
TWOU.out,NaN,20
TWO.out,NaN,46
TWNK.out,NaN,13
TWLO.out,NaN,12
TUSK.out,NaN,8
TTWO.out,NaN,50
TSU.out,NaN,50
TSN.out,NaN,50
TSLA.out,NaN,35
TSG.out,NaN,37
TSE.out,NaN,20
TRUP.out,NaN,20
TRU.out,NaN,16
TRUE.out,NaN,20
TRTN.out,NaN,10
TRS.out,NaN,50
TRQ.out,NaN,50
TRNO.out,NaN,36
TRHC.out,NaN,10
TRGP.out,NaN,36
TPRE.out,NaN,24
TPIC.out,NaN,11
TPGH.out,NaN,7
TOWR.out,NaN,38
TOUR.out,NaN,21
TNDM.out,NaN,24
TLRY.out,NaN,5
TLND.out,NaN,10
THC.out,NaN,50
TERP.out,NaN,18
TENB.out,NaN,4
TECD.out,NaN,50
TDW.out,NaN,4
TDOC.out,NaN,15
TCDA.out,NaN,7
TBPH.out,NaN,19
TARO.out,NaN,50
TALO.out,NaN,2
SYNH.out,NaN,19
SWX.out,NaN,50
SWM.out,NaN,50
SWKS.out,NaN,50
SWCH.out,NaN,4
SVMK.out,NaN,2
SUPN.out,NaN,29
SUM.out,NaN,16
SUI.out,NaN,50
ST.out,NaN,40
STNE.out,NaN,3
STG.out,NaN,3
STAG.out,NaN,31
STAA.out,NaN,50
SSTI.out,NaN,7
SRPT.out,NaN,50
SR.out,NaN,50
SRG.out,NaN,14
SQ.out,NaN,13
SPXC.out,NaN,50
SPSC.out,NaN,40
SPPI.out,NaN,50
SPOT.out,NaN,4
SPNS.out,NaN,50
SPLK.out,NaN,31
SPH.out,NaN,50
SPB.out,NaN,50
